1: ProtocolRequired - \handshake\ProtocolRequired.as
4002: FriendsListMessage - \game\friend\FriendsListMessage.as
4004: FriendAddRequestMessage - \game\friend\FriendAddRequestMessage.as
5001: InteractiveUseRequestMessage - \game\interactive\InteractiveUseRequestMessage.as
5002: InteractiveMapUpdateMessage - \game\interactive\InteractiveMapUpdateMessage.as
5501: LeaveDialogRequestMessage - \game\dialog\LeaveDialogRequestMessage.as
5502: LeaveDialogMessage - \game\dialog\LeaveDialogMessage.as
5503: SetUpdateMessage - \game\inventory\items\SetUpdateMessage.as
5505: ExchangeRequestMessage - \game\inventory\exchanges\ExchangeRequestMessage.as
5508: ExchangeAcceptMessage - \game\inventory\exchanges\ExchangeAcceptMessage.as
5509: ExchangeIsReadyMessage - \game\inventory\exchanges\ExchangeIsReadyMessage.as
5511: ExchangeReadyMessage - \game\inventory\exchanges\ExchangeReadyMessage.as
5512: ExchangeStartedMessage - \game\inventory\exchanges\ExchangeStartedMessage.as
5513: ExchangeErrorMessage - \game\inventory\exchanges\ExchangeErrorMessage.as
5514: ExchangeObjectMovePricedMessage - \game\inventory\exchanges\ExchangeObjectMovePricedMessage.as
5515: ExchangeObjectMessage - \game\inventory\exchanges\ExchangeObjectMessage.as
5516: ExchangeObjectAddedMessage - \game\inventory\exchanges\ExchangeObjectAddedMessage.as
5517: ExchangeObjectRemovedMessage - \game\inventory\items\ExchangeObjectRemovedMessage.as
5518: ExchangeObjectMoveMessage - \game\inventory\exchanges\ExchangeObjectMoveMessage.as
5519: ExchangeObjectModifiedMessage - \game\inventory\items\ExchangeObjectModifiedMessage.as
5520: ExchangeObjectMoveKamaMessage - \game\inventory\exchanges\ExchangeObjectMoveKamaMessage.as
5521: ExchangeKamaModifiedMessage - \game\inventory\items\ExchangeKamaModifiedMessage.as
5522: ExchangeRequestedMessage - \game\inventory\exchanges\ExchangeRequestedMessage.as
5523: ExchangeRequestedTradeMessage - \game\inventory\exchanges\ExchangeRequestedTradeMessage.as
5525: GameActionFightSlideMessage - \game\actions\fight\GameActionFightSlideMessage.as
5526: GameActionFightReduceDamagesMessage - \game\actions\fight\GameActionFightReduceDamagesMessage.as
5527: GameActionFightExchangePositionsMessage - \game\actions\fight\GameActionFightExchangePositionsMessage.as
5528: GameActionFightTeleportOnSameMapMessage - \game\actions\fight\GameActionFightTeleportOnSameMapMessage.as
5530: GameActionFightReflectDamagesMessage - \game\actions\fight\GameActionFightReflectDamagesMessage.as
5531: GameActionFightReflectSpellMessage - \game\actions\fight\GameActionFightReflectSpellMessage.as
5532: GameActionFightChangeLookMessage - \game\actions\fight\GameActionFightChangeLookMessage.as
5533: GameActionFightDispellMessage - \game\actions\fight\GameActionFightDispellMessage.as
5535: GameActionFightStealKamaMessage - \game\actions\fight\GameActionFightStealKamaMessage.as
5537: KamasUpdateMessage - \game\inventory\KamasUpdateMessage.as
5540: GameActionFightMarkCellsMessage - \game\actions\fight\GameActionFightMarkCellsMessage.as
5542: SubscriptionLimitationMessage - \game\subscriber\SubscriptionLimitationMessage.as
5544: CharacterNameSuggestionSuccessMessage - \game\character\creation\CharacterNameSuggestionSuccessMessage.as
5545: CharactersListErrorMessage - \game\character\choice\CharactersListErrorMessage.as
5546: GuildCreationValidMessage - \game\guild\GuildCreationValidMessage.as
5548: GuildInvitationStateRecrutedMessage - \game\guild\GuildInvitationStateRecrutedMessage.as
5549: GuildChangeMemberParametersMessage - \game\guild\GuildChangeMemberParametersMessage.as
5550: GuildGetInformationsMessage - \game\guild\GuildGetInformationsMessage.as
5551: GuildInvitationMessage - \game\guild\GuildInvitationMessage.as
5552: GuildInvitedMessage - \game\guild\GuildInvitedMessage.as
5554: GuildCreationResultMessage - \game\guild\GuildCreationResultMessage.as
